id,description,Título
1,"Esaú e Jacó - os jovens bem-nascidos, os gêmeos Pedro e Paulo, digladiam-se em  intermináveis conflitos e reconciliações desde o útero da mãe até o começo da idade adulta. Os irmãos lutam pelo amor da jovem Flora Batista cujo enredo é narrado em terceira pessoa pelo conselheiro Aires — alter-ego de Machado de Assis, que usa o personagem para as suas reflexões autorais. O narrador-personagem compartilha com o leitor suas indagações sobre a arte do romance e, por isso, o crítico e professor Hélio Guimarães, que assina a introdução e as notas do volume, considera essa obra uma verdadeira “teoria da composição ficcional”. Ambientado no Rio de Janeiro durante os anos finais do Império e o início da  República, o livro ecoa diversos acontecimentos da história do Brasil —  incluindo a Abolição, a Proclamação da República e as revoltas contra o governo Floriano Peixoto —, além de passagens da Bíblia, da Divina  comédia e do Fausto de Goethe.",Esaú e Jacó
2,"Helena - No Rio de Janeiro colonial, um homem importante e rico mantém caso amoroso com uma mulher que havia migrado do Rio Grande do Sul e se separara do  marido, devido a dificuldades financeiras. A mulher já possuía uma filha, que, mais tarde, foi perfilhada pelo amante rico. Esta filha é  Helena. Mesmo sabendo de tudo, ela é recebida no seio da família do amante de sua mãe e entra em posse de uma herança considerável. A convivência termina por gerar uma paixão recíproca entre Helena e seu  suposto irmão Estácio. O drama de incesto abala as estruturas da família de Estácio e tudo caminha para um final surpreendente. “Helena” é um  romance dividido em 28 capítulos dentro de estrutura linear.",Helena
3,"Ressurreição - No Rio de Janeiro do século XIX, o Doutor Félix troca de amantes a cada seis meses (""os meus amores são todos semestrais; duram mais que as rosas, duram duas estações"") e rompe com a última delas, Cecília. Viana, seu amigo, apresenta-lhe a irmã Lívia, uma bela mulher, viúva há dois anos, mãe de um menino de cinco anos. Começam a se relacionar como amigos, mas ao fim de alguns encontros e de algumas valsas os dois se apaixonam. De início vivem um amor discreto, oculto da sociedade. Porém, vários conflitos passam a ocorrer devido ao ciúme e desconfiança do protagonista. Depois de muitas idas e vindas, Felix acaba pedindo a viúva em casamento, mas volta atrás na véspera do matrimônio por causa de uma carta anônima com acusações falsas contra Lívia. Graças à intervenção do amigo Meneses, Félix se arrepende de seu gesto impensado e tenta se reconciliar, mas agora é Lívia quem não quer mais se casar com o médico desconfiado e instável. ""As dúvidas o acompanharão onde quer que nos achemos, porque elas moram eternamente no seu coração"", diagnostica Lívia. Além do casal de protagonistas o autor faz desfilar uma galeria de personagens secundários, cujas personalidades e características físicas esmiúça, como costuma fazer em suas obras. ",Ressurreição
4,"A Mão e a Luva - Guiomar, uma moça de infância pobre adotada pela madrinha rica, tem que se decidir entre três pretendentes. Essa dúvida envolve o conflito permanente entre a emoção e a razão, no qual está em jogo o futuro dessa mulher forte e decidida. Machado utiliza as reflexões de Guiomar para construir um perfil genial de toda a alta sociedade, na qual não há espaço para sonhadores e ingênuos",A Mão e a Luva
5,"Memorial de Aires - pois o personagem Aires participa da história, anotando em seu caderno, tudo que se passa em sua vida, dando continuidade em Memorial de Aires em que o próprio personagem relata seu dia-a-dia em um caderno",Memorial de Aires
6,"Casa Velha -  Texto não tem tempo de discurso revelado; porém, o tempo de diegese se passa nos anos de 1838 e 1839. Com o fim de escrever um livro sobre a história do Primeiro Reinado, um cônego procura conhecer uma casa onde morou um ex-ministro, na qual havia papéis que o ajudariam na sua pesquisa. Durante esta pesquisa, o cônego tornou-se grande amigo da família, ficando íntimo dela, inclusive. Deste modo, vê na amizade de Félix - filho da dona da casa, D. Antônia - e Lalau - praticamente, agregado da casa - uma possível paixão. No desenrolar da trama, descobre que sua observação estava correta e os dois realmente se amavam.",Casa Velha
7,"Quincas Borba - Neste romance da maturidade do autor, a história do provinciano Rubião - herdeiro da fortuna do idiossincrático filósofo Quincas Borba - e dos  tipos urbanos da corte que o levam à ruína é narrada com o distanciamento, o ceticismo e o senso de humor implacável de que só  Machado de Assis era capaz.",Quincas Borba
8,"Dom Casmurro - Conta a história de Bento Santiago (Bentinho), apelidado de Dom Casmurro por ser calado e introvertido. Na adolescência, apaixona-se por Capítu, abandonando o seminário e, com ele, os desígnios traçados por sua mãe, Dona Glória, para que se tornasse padre",Dom Casmurro
9,"Iaiá Garcia - Com personagens femininas marcantes, o livro Iaiá Garcia apresenta: Dona Valéria, mãe de Jorge, que é apaixonado por Estela. Contrária ao  romance entre os dois, manda o filho para a Guerra do Paraguai para acabar com o relacionamento.",Iaiá Garcia
10,"Memórias Póstumas de Brás Cubas - Narrado em primeira pessoa, seu autor é Brás Cubas, um ""defunto-autor"", isto é, um homem que já morreu e que deseja escrever a sua autobiografia. Nascido numa típica família da elite carioca do século XIX, do túmulo o morto escreve suas memórias póstumas começando com uma ""Dedicatória"": Ao verme que primeiro roeu as frias carnes do meu cadáver dedico como saudosa lembrança estas memórias póstumas.",Memórias Póstumas de Brás Cubas
